uhf_pk,category,name,original_name,source_epg_channel_id,source_country,target_xmltv_id,target_name,target_country,target_guide_sites,match_method,confidence,review,notes,logo_url
1816,Canada,Canada- Fight Network HD CA,Canada- Fight Network HD CA,,CA,CA:FightNetwork.ca,Fight Network,CA,distro.tv;i.mjh.nz;nostv.pt;plex.tv;tvhebdo.com;tvpassport.com;tvprofil.com;tvtv.us;vodafone.pt,fuzzy_name_high,1.000,ok,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1898,Canada,Canada- Food Network,Canada- Food Network,,CA,CA:FoodNetwork.ca,Food Network,CA,tvhebdo.com;tvpassport.com,fuzzy_name_high,1.000,ok,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1913,Canada,Canada- GLOBAL HALIFAX,Canada- GLOBAL HALIFAX,,CA,,,,,unmapped,0.483,unmapped,no reliable match in target-country guide channel set,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1914,Canada,Canada- GLOBAL VANCOUVER,Canada- GLOBAL VANCOUVER,,CA,,,,,unmapped,0.581,unmapped,no reliable match in target-country guide channel set,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1894,Canada,Canada- Game TV,Canada- Game TV,,CA,CA:GameTV.ca,Game TV,CA,ontvtonight.com;tvhebdo.com,fuzzy_name_high,1.000,ok,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1798,Canada,Canada- Global,Canada- Global,,CA,CA:GlobalNewsBC1.ca,Global News: BC1,CA,tvpassport.com,fuzzy_name_high,0.920,ok,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1871,Canada,Canada- HBO 1 Ca,Canada- HBO 1 Ca,,CA,CA:HBO1.ca,HBO 1,CA,tvhebdo.com,fuzzy_name_high,1.000,ok,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1870,Canada,Canada- HBO 2 Ca,Canada- HBO 2 Ca,,CA,,,,,unmapped,0.800,unmapped,no reliable match in target-country guide channel set,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1906,Canada,Canada- HGTV,Canada- HGTV,,CA,CA:HGTV.ca,HGTV,CA,tvhebdo.com;tvpassport.com,fuzzy_name_high,1.000,ok,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1869,Canada,Canada- HISTORIA QC,Canada- HISTORIA QC,,CA,CA:Historia.ca,Historia,CA,tvhebdo.com;tvpassport.com,fuzzy_name_high,1.000,ok,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1902,Canada,Canada- History Channel,Canada- History Channel,,CA,CA:History.ca,History,CA,tvhebdo.com;tvpassport.com,fuzzy_name_high,1.000,ok,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1867,Canada,Canada- ICI VANCOUVER QC,Canada- ICI VANCOUVER QC,,CA,,,,,unmapped,0.545,unmapped,no reliable match in target-country guide channel set,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1890,Canada,Canada- KNOWLEDGE KIDS,Canada- KNOWLEDGE KIDS,,CA,,,,,unmapped,0.500,unmapped,no reliable match in target-country guide channel set,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1866,Canada,Canada- LCN QC,Canada- LCN QC,,CA,CA:LCN.ca,LCN,CA,tvhebdo.com;tvpassport.com;tvtv.us,fuzzy_name_high,1.000,ok,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1865,Canada,Canada- LIFETIME Ca,Canada- LIFETIME Ca,,CA,CA:Lifetime.ca,Lifetime,CA,tvhebdo.com;tvpassport.com,fuzzy_name_high,1.000,ok,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
1813,Canada,Canada- Lifetime FHD CA,Canada- Lifetime FHD CA,,CA,CA:Lifetime.ca,Lifetime,CA,tvhebdo.com;tvpassport.com,fuzzy_name_high,1.000,ok,,https://cms123456.com/assets/uploads/files/007bf-thumbnail_canada.jpg
